Code,Description,FirearmType
1988,.250 SAVAGE (250-3000),00
3614,.250 SAVAGE (250-3000),00
1515,.250/3000 ACKLEY IMP,00
2847,.255 BANSHEE,00
2849,.255 GS,00
2848,.255 JEFFERY ROOK,00
2853,.256 FRASER FLANGED,00
2854,.256 FRASER RIMLESS,00
2855,.256 GIBBS MAG,00
2793,.256 MANNLICHER,00
2852,.256 MANNLICHER,00
2792,.256 NEWTON,00
2798,.256 NEWTON,00
2850,.256 NEWTON,00
2856,.256 SWIFT FLANGED,00
2857,.256 SWIFT RIMLESS,00
2851,.256 WIN MAG,00
2791,.256 WIN MAG,00
2797,.256 WIN MAG,00
2858,.257 ACKELY IMP,00
2860,.257 ARCH,00
2866,.257 BAKER MAG,00
2867,.257 BENNET MAG,00
2868,.257 BIG HORN,00
2869,.257 CONDOR,00
2870,.257 CRITSER MAG,00
2871,.257 DURHAM JET,00
2859,.257 JDJ,00
2861,.257 KIMBER,00
3088,.257 KOEVOET,00
2864,.257 MINI DREADNAUGHT,00
2863,.257 RAPTOR,00
2057,.257 ROBERTS,00
2437,.257 ROBERTS,00
2865,.257 SHARPS,00
2862,.257 STW,00
2210,.257 WBY MAG,00
3632,.257-300 PRC,00
2805,.26 BSA,00
2807,.26 EPPS,00
2806,.26 NOSLER,00
2537,.260 ACKLEY IMP (AI),00
2543,.260 LAZER,00
1877,.260 REM,00
1861,.260 REM,00
2945,.263 EXP,00
791,.263 EXP / 12GA,00
2874,.264 CONNELL SHORT MAG,00
2875,.264 DURHAM MAG,00
2873,.264 HAWK,00
2876,.264 HOLLIS,00
2872,.264 LBC-AR,00
2878,.264 PMS,00
2879,.264 SALISBURY,00
2877,.264 WILLIAMS,00
2338,.264 WIN MAG,00
156,.265 MANNLICHER,00
2799,.267 REM,00
3631,.27 RIMFIRE,00
2366,.270 IHMSA,00
2363,.270 JDJ,00
2555,.270 MAX,00
3060,.270 REDDING,00
2364,.270 REN,00
3416,.270 SABI,00
2362,.270 SAVAGE,00
2455,.270 TOMBI,00
2017,.270 WBY MAG,00
2971,.270 WIN,00
1786,.270 WIN,00
2365,.270 WIN,00
3529,.270 WIN / 12GA,00
2368,.270 WIN / 7X65R,00
2039,.270 WIN SHORT MAG,00
285,.270/.308,00
2885,.275 BLAND MAX,00
2881,.275 FLANGED MAG,00
2242,.275 H&H MAG,00
2883,.275 HOFFMAN MAG,00
2884,.275 JEFFERY ROOK,00
2882,.275 NO. 2 MAG,00
2880,.275 RIGBY,00
2888,.276 B-J EXP,00
2889,.276 CARLSON MAG,00
2890,.276 ELEY M.R.,00
2886,.276 ENFIELD,00
2887,.276 PETERSEN,00
3717,.277 SIG FURY,00
3715,.277 SIG FURY,00
3716,.277 SIG FURY,00
3024,.28 NOSLER,00
3486,.28 SHERMAN MAG(28SM),00
2564,.280 ACKLEY IMP,00
2814,.280 BRITISH,00
2815,.280 DUBIEL,00
2809,.280 FLANGED,00
2812,.280 GNR,00
2817,.280 HALGAR MAG,00
2816,.280 HALGAR ULTRA II,00
2811,.280 HAWK,00
2813,.280 JDJ,00
2810,.280 JEFFERY,00
2092,.280 REM,00
2808,.280 ROSS (.280 RIMLESS),00
2818,.280 WESTLY & RICHARDS,00
3265,.284 SHEHANE,00
3447,.284 WIN,00
26,.284 WIN,00
3465,.295 ROOK,00
437,.297 RIM-FIRE,00
3053,.297/.230 (MORRIS) LONG,00
3052,.297/.230 (MORRIS) SHORT,00
3544,.297/.250 ROOK,00
3555,.297/.250 ROOK / .410 BORE,00
3675,.30 (7.65MM) LUGER,00
2440,.30 BR(BENCHREST),00
3700,.30 BRX,00
404,.30 CARBINE,00
2314,.30 CARBINE (BLANK),00
265,.30 CARBINE(7.62X33MM),00
2956,.30 CARBINE(7.62X33MM),00
505,.30 CARBINE(7.62X33MM),00
1899,.30 HART,00
3428,.30 HERRETT,00
3192,.30 NEWTON,00
3051,.30 NOSLER,00
2097,.30 PINFIRE,00
2129,.30 R BLASER (7.62X68MM R),00
28,.30 REM,00
3425,.30 REM,00
2458,.30 REM (BLANK),00
3487,.30 SHERMAN MAG(.30SM),00
2349,.30 TC,00
2399,.30 WAGSAL,00
3703,.30 XARC,00
1858,.30-.378 WBY MAG,00
3371,.30-.378 WBY MAG IMP,00
2021,.30-06 ACKLEY IMPROVED,00
2619,.30-06 JDJ,00
2264,.30-06 SPR... (BLANK),00
3482,.30-06 SPR/.375 H&H MAG/20GA,00
3106,.30-06 SPRING / 12GA,00
834,.30-06 SPRING / 16GA,00
3423,.30-06 SPRING / 20GA,00
3174,.30-06 SPRINGFIELD,00
2330,.30-06 SPRINGFIELD,00
2173,.30-06 SPRINGFIELD,00
275,.30-06 SPRINGFIELD,00
3193,.30-284 WIN,00
2947,.30-30 WESSON,00
596,.30-30 WIN,00
266,.30-30 WIN,00
2552,.30-30 WIN,00
714,.30-30 WIN / 12GA,00
351,.30-30 WIN / 16GA,00
813,.30-30 WIN / 20GA,00
1886,.30-338 WIN MAG,00
1864,.30-40 KRAG,00
2462,.30-40 KRAG (BLANK),00
2584,.300 AAC BLACKOUT,00
2542,.300 AAC BLACKOUT,00
2583,.300 AAC BLACKOUT,00
3044,.300 AAI,00
3696,.300 ADRIAN,00
3375,.300 BLACKOUT,00
2434,.300 BLACKOUT,00
2425,.300 BLASER MAG,00
2441,.300 DAKOTA,00
268,.300 H&H MAG,00
3164,.300 H&H MAG / 12GA,00
3500,.300 JARRETT,00
2567,.300 LAPUA MAG,00
2978,.300 NORMA MAG,00
3440,.300 NORMA MAG IMPROVED,00
3530,.300 PEGASUS,00
3429,.300 PRC,00
2435,.300 RCM,00
1917,.300 REM ULTRA MAG,00
3434,.300 ROOK,00
2022,.300 RSAUM,00
267,.300 SAVAGE,00
3491,.300 SHERMAN SHORT(.300 SS),00
1898,.300 SHERWOOD,00
3113,.300 SHERWOOD / .410 BR,00
3144,.300 SHERWOOD / 12GA,00
3298,.300 SHERWOOD / 20GA,00
3629,.300 SHERWOOD / 28 GA,00
3539,.300 TOMBI,00
270,.300 WBY MAG,00
3275,.300 WHISPER,00
1840,.300 WHISPER,00
2459,.300 WHISPER,00
269,.300 WIN MAG,00
3273,.300 WIN MAG,00
2174,.300 WIN MAG,00
3553,.300 WIN MAG / 28GA,00
1987,.300 WIN SHORT MAG,00
2105,.303 (BLANK),00
2109,.303 (BLANK),00
802,.303 BRIT / .410BR,00
3001,.303 BRIT / 12GA,00
633,.303 BRIT / 12GA / 16GA,00
734,.303 BRIT / 14GA,00
343,.303 BRIT / 16GA,00
1732,.303 BRIT / 20GA,00
754,.303 BRIT / 28GA,00
