Code,Description
2371,KELBLY'S INC
2325,KEMEN
1191,KENTUCKIAN
1154,KENTUCKY FLINTLOCK
4159,KEPPELERR
2660,KERR
650,KESSLER
1547,KESTREL
1557,KETTNER
3526,KEYSTON SPORTING
2979,KH
3910,KHAN
3984,KHAR ARMS
4169,KIDD
340,KIMBALL
193,KIMBER
184,KIMEL
3614,KING
443,KIRIKKALE
4193,KKM PRECISION
265,KLEINGUENTHER
2359,KLINTWORTH
4450,KMR PRECISION ARMS
3070,KNICKERBACKER
698,KNIGHT RIFLES
1360,KNORHAAN
2258,KNUBLEY
39,KODIAK
4403,KOFS
2820,KOHNCKE
3248,KOMA
490,KOMMANDO
287,KOMMER
2336,KONGSBERG
4414,KOR
921,KORTH
3293,KP
2469,KRAG JORGENSEN
4037,KRAL
4202,KRC AV
1505,KREIENSEN
887,KRICO
2335,KRIEGER
3136,KRIEGESKORTE
888,KRIEGHOFF
4018,KRISS
3494,KROMSON
3472,KROON
1400,KRUPP
1532,KTG
2155,KTS
3258,KUCHENRBITER
4309,KUZEY ARMS
2121,KYNOCH
200,L A DIST
480,L A R MFG INC
655,L C SMITH
3643,L I G
1762,L I W
2681,L LEPERSONNE
330,L W SEECAMP CO
2938,L.A. CO.
3406,L.O.B.
2813,L1A1
4542,L3I DESIGN SOLUTIONS
2095,LA CORUNA
465,LA FRANCE
454,LAHTI
244,LAKEFIELD ARMS LTD
3460,LAKELANDER
3598,LAKESIDE
4211,LAM FROID
2731,LAMBER
1770,LAMES
857,LANBER
4146,LANCER SYSTEMS
1516,LANCESTER
4491,LANDOR ARMS
2370,LANG
106,LANGENHAN
3806,LARM
4014,LARUE
2793,LASERAIM ARMS
4333,LAUGO ARMS
858,LAURONA
2075,LAWN & ALDER
2055,LAWSON
3706,LAZZERONI
2425,LDP
370,LE BASQUE
2589,LE CLERQ
586,LE FRANCAIS
1168,LE MAT REVOLVER
361,LE PAGE
314,LE RAPIDE
4314,LEAD STAR
3874,LEADER TRADING
1558,LEATHERNECK
876,LEBEAU - COURALLY
2074,LEBEL
358,LEE ARMS
1351,LEE ENFIELD
3928,LEE HELGELAND
1030,LEE METFORD
4262,LEE SPEED
1866,LEECH
1845,LEESON
1758,LEFAUCHEUX
651,LEFEVER ARMS CO
2097,LEPCO
2544,LES BAER
1778,LEWIS
2398,LG 14
222,LIBERTY ARMS
1352,LIEGE
3407,LIEGEOISE
1860,LIGHTWOOD
289,LIGNOSE
290,LILIPUT
3294,LILJA
1566,LINCOLN
1920,LINSLEY BROS
147,LITHGOW
1991,LITTLE
1137,LJUTIC
112,LLAMA
1587,LLH
1923,LLOYD
2906,LOFLEY LEICESTER
3548,LOGUN AXSOR
699,LONDON ARMORY
4195,LONDON SPORT PARK WATTS
4495,LONE PEAK ARMS
4107,LONE WILLOW
2192,LONG BRANCH
364,LONGINES
1621,LOOKING GLASS
2240,LOPPO
2312,LOPPONEN
2071,LORCIN
919,LOTHAR WALTHER
2356,LOUIS TILLMAN
2677,LOVELL ARMS CO
4487,LRB ARMS
1452,LSA(LONDON SMALL ARM)
2158,LU-MAR
884,LUDWIG LOEWE
343,LUGER
878,LUNA
4003,LUVO ARMS
2582,LUX
4115,LWRC INTERNATIONAL
1160,LYMAN
2077,LYNX
2091,LYON & LYON
1402,LYTTELTON
3562,LÃ¼NEBERG
602,M A C
3629,M J BUNDOCK
2236,M-5
4430,M-ARMS
647,M. A. V. I.
4395,M.W.
3899,M1 CARBINE
4059,M4
3491,M57
102,MAADI
1363,MAB
3920,MAC PHERSON
3781,MACNAB
3229,MACNAUGHTON
1378,MADDCO
166,MADISON IMPORT CORP
3302,MADSEN
4218,MAESTRO
1761,MAG 7
2085,MAG 79(L8)
3591,MAGET
603,MAGNUM RESEARCH INC
1133,MAGTECH
1582,MAHELY
1618,MAHILLON
4150,MAJOOR (JURIE)
1404,MAKAROV
1973,MALEHAM
2629,MALLARD
2162,MALTBY HENLEY & CO
1628,MAMBA
4051,MAMMUT
1697,MANAGER
1992,MANCHESTER ORD & RIFLE
1050,MANDALL
3745,MANFRED ORTH
2010,MANN
150,MANNL SCHOENAUER
4233,MANNLICHER
2538,MANSOURA
1820,MANTON
1092,MANU-ARM
1480,MANUFRANCE
172,MANURHIN
1647,MAR
2597,MARBLES
2039,MARGOLIN
2872,MARHOLDT
3554,MARIETTE (G. MARIETTE)
3404,MARIO BESHI
2585,MARIXA
3623,MARKE LUCHS
923,MARKSMAN
34,MARLIN
1743,MAROCCHI
292,MARS
1515,MARSON
3327,MARTIAN
4412,MARTIN HAGN
1386,MARTINI HENRY
1818,MAS
3517,MASIER
2357,MASQUELLIER
2064,MASTER
4101,MASTERPIECE ARMS
2433,MAT
3746,MATCH GUNS
2549,MATEBA
108,MAUSER
666,MAVERICK
4265,MAX MEFFERT
3490,MAXIM
1626,MAYER & SOHNE
4342,MAYFAIR
3487,MC CARTHY BUCK&CO
3789,MC CRIRICK
3792,MC GOWEN
3791,MC MILLAN & CO
4463,MDC DEFENCE
4507,MEACHAM
1788,MEB
3087,MECH TECH
2486,MEIZER
291,MELIOR
2234,MENDI
141,MENDOZA
371,MENTA
2958,MENZ
4222,MERCO
181,MERCURY
2926,MEREDITH RIFLES
408,MERIDAN FIREARMS
889,MERKEL
3999,MERRILL
52,MERWIN & HUBERT
4110,METRO ARMS
1804,MEYER & SOHNE
1520,MIDA
1202,MIDLAND
1443,MIKROS
1406,MILBRO
382,MILITAR
1509,MILKOR
3671,MILLENIUM
2369,MILLER & VAL
414,MIROKU
670,MITCHELL
4250,MJ BUNDOCK
3147,MJ MAULLIN
3730,MKONTO MANU
4510,MLB ARMS
604,MOA CORPORATION
2318,MODEL GUN CORP (MGC)
2587,MODERN ARMS
307,MODESTO SANTOS
2399,MOISIN-NAGANT
3988,MOJET
3250,MOLL & CO
4203,MOLOT
2711,MOLPEN
2573,MONDIAL
1868,MONK (W.H.MONK)
3662,MONTANA
2438,MONTE CARLO
626,MONTGOMERY WARD
4365,MONZA
4121,MORINI
2810,MORITZ
2187,MORRIS
2176,MORTIMER
2107,MORTON & SON
29,MOSSBERG
1978,MOUNTSTEPHEN
700,MOWREY
1524,MP 40
3323,MPIK
3322,MPIKM
2625,MU
1809,MUGICA EIBAR
2725,MUIR
2992,MULLER
2570,MUNDIAL
2003,MURCOTT
487,MUSGRAVE
4075,MUSGRAVE MAUSER
1432,MUSLER
3156,MW MCCALL
4407,MWT .30 BORE
4408,MWT 12 BORE
4404,MWT BIRETA
4405,MWT CLOCK
4406,MWT STOGER
165,NAGANT
401,NAMBU
2934,NAT POSTAL METER
3226,NATIONAL ARMS CO
157,NATIONAL CARTRIDGE
341,NATIONAL ORD
595,NAVY ARMS CO
4483,NB I.N.A.T.
2696,NBU
2853,NECKERMANN
1447,NEEDHAM (J.V NEEDHAM)
1206,NEF ULTRA/ULTRA MAG
4299,NEMO
2118,NEOSTEAD
3648,NESIKA
333,NETHERLANDS
2368,NEUHAUSEN
2472,NEUMANN
2578,NEW EMPIRE
1027,NEW ENGLAND FIREARMS
4151,NEW FRONTIER ARMORY
3615,NEW SYSTEM ARMS
1529,NEW WORCESTER
4248,NEW YORK ARMS CC
1917,NEWNHAM
618,NEWTON(CHARLES NEWTON)
4517,NEXUS
4546,NICKERSON
1048,NIKKO
4371,NIKSAN DEFENCE
2787,NIMROD
1366,NITRO
194,NOBLE
2004,NOCK
303,NORAMCO
4163,NORDIC COMPONENTS
4254,NORDISKE PRECISION
1394,NORICA
94,NORINCO
3865,NORIS TWINNY
1899,NORMAN
30,NORTH AMERICAN ARMS
4012,NORTH EASTERN ARMS
4354,NORTH STAR ARSENAL
1571,NORTON
2479,NORWICH
3733,NOSLER
4461,NOVA MODUL
4523,NOVA VISTA
4072,NOVESKE
2056,NOWLIN
3767,NRS FUJI
2268,O M C
4515,OA DEFENSE
1476,OBENDORF
4105,OBERLAND
4310,OLDENBURG
688,OLYMPIC ARMS
3414,OMARK
78,OMEGA
1775,ONENA
2705,ORBEA
1355,ORBIT
3926,ORDNANCE DESIGN CO
2396,ORION
175,ORTGIES
3763,OSA
2562,OSKAR FRUHAUF
2410,OTTO BOCK
4376,OTTO HEIM
302,OWA
2856,P MACLAGAN
1763,P S M
4293,P. LORENZOTTI
4416,P.COLBOURNE
3722,P.WEBLEY & SON
2306,P14
1527,PAATZ
2218,PAC-NOR
1122,PACHMAYR
1345,PAF
4456,PALLAS
1619,PALMER
2116,PAM
2138,PAMPA
3078,PANTHER
4258,PANZER ARMS
132,PARA-ORD INC
3325,PARAMAX
1060,PARAMOUNT ARMS
1204,PARDINI/FIOCCHI
4062,PARDUS ARMS
2233,PARKEMY
309,PARKER BROS
3035,PARKER SNOW
2643,PARKER WOOD
101,PARKER-HALE
4533,PARKWEST ARMS
4375,PAS
2006,PATON
2908,PATRIOT
1975,PATSTONE
4094,PAUL JAEGER
3384,PAUL REUSS
2482,PAULO
1098,PAXARMS
3252,PEABODY
619,PEDERSEN
2016,PEDERSOLI
2475,PEDRO ARRIZABALAGA
2147,PEERLESS
484,PENN ARMS CO
620,PENNEY
3132,PENNSYLVANIA
652,PERAZZI
674,PEREGRINE
1556,PERFECTA
2007,PERKES
2391,PERRINS & SON
966,PERUGINI-VISINI
4485,PERUN ARMS
920,PETERS STAHL
4534,PEUGEOT
2048,PFANNEL
4292,PH COUNET
1685,PHANTOM
1121,PHELPS MFG CO
3397,PHILIPP REEB
2020,PHILLIPS
284,PHOENIX ARMS CO
3493,PHOENIX FIREBIRD
3613,PICRA
3742,PIEFER
2129,PIEPER
270,PIEPER ANCIENS
3962,PIERCE ENG LTD
965,PIETRO ZANOLETTI
2200,PIETTA
2719,PINKERTON
1421,PIONEER
4497,PIONEER ARMS
960,PIOTTI
3012,PJ BOTHA
3085,PKM
3110,PKT
339,PLAINFIELD
2702,PLAINSMAN
2131,PLAYFAIR & CO
1733,PNEU DART (DART GUN)
3955,POF (PAKISTAN ORD FACT)
4030,POF-USA
1354,POINTER
2159,POLDI
4129,POLYTECH
1629,POPES
3166,POS PRIDE
1641,POTSDAM
2802,POWELL & SONS
3317,PPS
2341,PPSH 41
2140,PRANDELLI
3665,PRECHTL
1197,PRECISION SPORTS
3998,PREDATOR
3657,PREECE
2319,PREMA
653,PREMIER
4224,PRINCE VINCENT
2985,PRINCEPS
4043,PRO ARMS
1034,PROMETHUES ARMS COMP
4437,PROMMERSBERGER
4187,PROOF
488,PROTECTA (ASERMA)
2920,PRYSE & REDMAN
3786,PSA
4029,PSL
4492,PTG
1754,PUCARA
1704,PUMA
1023,PURDEY
4493,PURE PRECISION
4027,PWS
4313,Q
2239,QUACKENBUSCH
1162,QUEEN ANNE
4469,R & W.G.RAINE BROS
2987,R BESSEL AND SOHN
1043,R F SEDGLEY INC
1377,R HUGHES & SONS
260,R JONES
1792,R MULLER
3162,R W S
2089,R. FAMAGE
2104,R1
2423,R76
4251,RADELLI
4479,RADIAN
4200,RADICAL
4439,RADIKAL
311,RADIUM
352,RADOM
1128,RAHN
3883,RAICK FRERES
4061,RALPH BADENHORST
1691,RAMSET
472,RANDALL FIREARMS
4252,RANGEMASTER
673,RANGER
4462,RANGER ARMS
2431,RAP 401
4176,RAPID AIR WEAPONS (RAW)
2797,RAST & GASSER
1207,RAVEN ARMS
1500,RAWBONE
4419,REC
145,RECK
3108,RECKY
1131,RED WILLOW
2128,REDFERN
1102,REDMAN
4077,REDOLFI
3064,REES AND ROBERTS
3437,REEVES PATENT
159,REGENT
2386,REICH
3257,REID
1994,REILLY
3144,REIMER JOHANNSEN
605,REISING ARMS CO
2347,RELUM
4,REMINGTON ARMS
3992,REMINGTON RAND
1464,REMO
968,RENATO GAMBA
346,RENEGADE
464,REPLICA
117,REPUBLIC ARMS
2358,RESOLVER
4361,RETAY ARMS
273,RETOLAZA HERNANOS
199,REVELATION
4055,REVO
4489,REX
4330,REXIMEX
1381,REXIO
2241,RFM
285,RHEINMETALL
1971,RHODES
2031,RHOEN
97,RHONER
4164,RHÃNER SPORTWAFFEN
1927,RICHARD HANSON
1067,RICHLAND
3714,"RIFLES, INC"
174,RIGARMI
1024,RIGBY (JOHN RIGBY&CO)
3728,RINO
2860,RIOT
4410,RIPPEL EFFECT
2377,RITCHIE
4135,RITTER & STARK
3950,RITTERBUSCH
4235,RIVA ESTERIA
3208,RIVAL
1564,RIVERSIDE ARMS
1995,RIVIERE
995,RIZZINI
4008,RIZZINI-EMILIO
3707,ROBAR
2552,ROBERT ADAMS
4100,ROBINSON ARMAMENT CO
3877,ROBUST
2427,ROCHATTE
1442,ROCHESTER
4281,ROCK ISLAND ARMORY
4204,ROCK RIVER ARMS
3583,ROCK-OLA MANUF CO
2541,ROCKY MOUNTIAN ARMS
2287,RODACCIAI
2093,RODDA
2829,ROECHLING ELEKTROST
4165,ROESSLER
3844,ROF (FAZAKERLEY)
2779,ROF (MALTBY)
1170,ROGERS & SPENCER
3519,ROGUE
110,ROHM
215,ROLAND
251,ROMO
3571,RONGE
3887,ROOIKAT
2353,ROOK
235,ROSCO
2052,ROSENTHAL
873,ROSS RIFLE CO
1041,ROSSI
1892,ROSSON
2350,ROTA-LUCIANO
432,ROTH-SAUER
918,ROTTWEIL
1019,ROYAL SMALL ARMS
2434,RP-46
3669,RPA
4397,"RPB INDUSTRIES,INC."
2450,RPD
2818,RPG
2084,RPK
1124,RPM
1544,RS
3855,RSA
4425,RTIARMS
1042,RUBI
313,RUBY
48,RUGER
3862,RUPPERTUS
3505,RUSCHETTA
2668,RUSO
133,RUSSIAN
2816,RUTTENT
3777,RYAN BREEDING
4388,RÃBLER
2550,S A C M
3335,S ANDRÃ¨ EST S PAULO
2950,S J NICHOLAS & CO
4380,S SMALLWOOD
2135,S T I
4103,S.A.M.
4355,S.K ENGINEERING
4374,S.KNOP-HAMELN
4186,SA GUNWORKS
4411,SA-KA ARMS
3626,SAARN
2108,SABATTI
2029,SABI
252,SABLE
3275,SABLE BABY
3933,SABRE DEFENCE IND
3440,SACO-LOWELL
1113,SAFARI ARMS INC
3981,SAFIR
446,SAGEM
3605,SAGINAW
4147,SAI (SALIENT ARMS INTER)
4451,SAI (SPARTAN ARMS INTER)
4300,SAI 2.0
2464,SAIGA
266,SAKO
2851,SAKRAT
362,SALAVERRIA
2103,SALTER & VARGE
4347,SALVAR
4086,SALVINELLI BREDA
1546,SAM BUCKLEY & CO
3076,SAMCO
2441,SAMSON
4438,SAMUEL B ALLPORT
3534,SAMUEL MARSON & CO
4053,SAMYANG
1254,SAN CRISTÃBAL
959,SAN MARCO
1365,SANNA 77
1362,SANTA BARBARA
4213,SANTA FE
2326,SAR
357,SARASQUETA
3470,SARGANT & SON
4230,SARIC ARMS
4428,SARICAM ARMS
3627,SARSILMAZ
2446,SATA
168,SAUER & SOHN (SAUER)
2811,SAUER-AYA
2387,SAUER-BERETTA
3673,SAUER-WEATHERBY
1434,SAURIO
10,SAVAGE
1514,SAVANA
2545,SAXTON
4084,SCCY
1477,SCHEINTOD
2365,SCHERPING
890,SCHILLING
4327,SCHIWY
4149,SCHLEMMER-BINT
4413,SCHMEISSER
1802,SCHMIDT - OSTHEIM
1745,SCHMIDT-RUBIN
3033,SCHNEIDER
2970,SCHOENAUER
2288,SCHOLBERG
1651,SCHOLEFIELD
3898,SCHOLEFIELD GOODMAN
3897,SCHOLEFIELD LON & BIRM
4223,SCHRAFF
2102,SCHUEMANN
167,SCHULTZ
1813,SCHULTZ & LARSEN
1714,SCOREMASTER
1613,SCORPIO
1861,SCOTCHER
4015,SCOTT F C
2729,SCOUT
4465,SCSA
4102,SDM
1367,SEA HORNET
84,SEARS
409,SECRET SEVICE
58,SECURITY IND
1,SEDCO INDUSTRIES
1112,SEECAMP
4498,SEEKINS PRECISION
1552,SELLIER & BELLOT (S & B)
3061,SENTINEL DELUX
1755,SERENA
3783,SETTLER
2025,SEVILLE
4134,SEY-LAN
2638,SF
1612,SHADOW
1570,SHANGHAI (SAG)
3266,SHARP SHOOTER
248,SHARPS
275,SHATTUCK
2058,SHAW
3129,SHEFFIELD
2467,SHELDON & SONS
182,SHERIDAN PROD INC
1836,SHERWOOD
621,SHILEN
2718,SHILO SHARPS
4385,SHIMWELL BROS
4128,SHORT ACTION CUSTOMS
3524,SHR970
3906,SIACE
4060,SIBERGUN
1044,SIG
881,SIG-SAUER
126,SIGARMS
4249,SILLIVER
2592,SILMA
1997,SILVER
3565,SIMSEK
3545,SIMSON & CO
3723,SIMSON SUHL
3676,SIN
2594,SIREARMS
1649,SITES
4272,SJOGREN
1038,SKB
3120,SKIMIN-WOOD
2978,SKLAAR AND SIESING
2419,SKORPION
4423,SKOUT AIRGUNS
2205,SKS
3366,SL-68II
298,SLAVIA
1091,SLAZENGER
1854,SLINGSBY
2572,SLR RIFLEWORKS
4512,SMALL ARMS FACTORY
2748,SMGMP5A2
2747,SMGMP5K
2749,SMGMP5P3
1551,SMITH & BEECHAM
1943,SMITH & SONS
9,SMITH & WESSON
2612,SMITH & WILKINSON
2741,SMITH LONDON
2714,SMITH MIDGLEY & BRADFO
4348,SMITH'S KHAMA
4511,SNEEUBERG BARRELS
1553,SNIDER
1910,SNOWIE & SON
4531,SNOWY MOUNTAIN RIFLES
4263,SOL INVICTUS ARMS
2124,SOLOTHUM
4526,SOUTHERN TACTICAL
3424,SOUTHERNER
3104,SOUTHGATE
3400,SPAIN
1703,SPANDAU
111,SPANISH
1349,SPARKBROOK
4122,SPARTAN
2456,SPECTRE
2408,SPENCER
4124,SPENDAL
232,SPESCO
2508,SPHINX
4232,SPIKE'S TACTICAL
1169,SPILLER & BURR
478,SPITFIRE MFR CO
3537,SPORT KING
116,SPORTARMS
134,SPORTCO
4329,SPORTING ARMS INC.
3447,SPORTMAN FIVE
135,SPORTOMATIC
56,SPRINGFIELD ARMORY
3306,SPRINGFIELD STEVENS
2112,SPRINTER
2536,SPS
242,SQUIRES BINGHAM INT INC
2086,SS77
2024,SSK INDUSTRIES
1436,ST ETIENNE
3402,ST LOUIS
3725,STA BARBARA
4454,STACCATO
3433,STADLER
4021,STAG ARMS
2244,STAHL & BERGER
2884,STAHL EHRHARDT
67,STALLARD ARMS
3043,STAMFORD
4227,STAND SMALL ARMS(S.S.A)
1609,STANDARD
2675,STANLEY
2182,STANTON (STANTON&SON)
89,STAR
2633,STEALTH
1479,STECHKIN
1684,STEFAN GRANT & SON
1376,STELLA
125,STEN
143,STENDA WERKE
3394,STEPHEN GRANT & SONS
3795,STEPHEN HEILMANN
4141,STERLING ARMAMENTS COM
46,STERLING ARMS
4142,STERLING ARSENAL
4143,STERLING FIREARMS
3069,STERLINGWORTH
83,STEVENS
124,STEYR
3941,STEYR DAIMLER PUCH
2962,STEYR MANNLICHER
1425,STIGA
3913,STILLER
2339,STIRLING
2666,STITZ
179,STOEGER ARMS
4212,STOGOS
1333,STOPPER 37
3923,STORM LAKE
3986,STRASSER
4082,STRAYER-VOIGT (SVI)
3058,STRELA
491,STRIKER (ASERMA)
4215,SUHLER JAGDHUTTE
4260,SULUN
45,SUNDANCE IND
2509,SUOMI
1429,SUPER (SUPER 12)
3536,SURETE
3756,SURGEON
1135,SURVIVAL ARMS
250,SVENDSEN
3867,SW SILVER & CO
1469,SWINBURN & SON
347,SWISS
4302,SWORD INT
3667,SWS 2000
2000,SYLVEN (T. SYLVEN)
2680,SYRACUSE ARMS
4267,SYSTEM DEFENCE
3375,T A T
2867,T BARNSLEY (THOMAS)
4067,T MURCOTT
1636,T PAGE-WOOD
2805,T STENSBY & CO
4036,T T PROCTOR
3044,T TURNER AND SONS
2783,T WILD AND SON
4268,T&H KING
4473,T.CLOUGH & SON
4002,T.T. OLYMPIA
1332,T.W. & J WALKER
2736,TA 382
1117,TACTICAL MANUFAC INC
1800,TALA
138,TALLARES
223,TALON
3173,TANAMARI
107,TANFOGLIO
2946,TANKE
1045,TANNER
2568,TAR-HUNT
4020,TARA
4453,TARAN TACTICAL
190,TARGA
2001,TATHAM
119,TAURUS
348,TED WILLIAMS
2098,TEJANO
3604,TEJON
3301,TELINJECT
1397,TELLY (JELLY)
4525,TERENCE.A.SMITH
4381,TERMINUS
1460,TERNI
4206,TEXAN
1047,TEXAS LONGHORN
1134,TEXAS REMINGTON
258,THALSO
369,THAMES ARMS
4226,THE BATTERY GUN CO
2038,THEATRE-FRERES
1033,THEOBEN
402,THERMODYNAMICS SYS
3568,THOMAS ADSETT
1528,THOMAS BLAND & SONS
1379,THOMAS HAWKES
2329,THOMAS HEPPLESTONE
3837,THOMAS HORSLEY
2170,THOMAS JACKSON & SON
3438,THOMAS PATENT
2492,THOMAS TURNER
2888,THOMAS WILD
606,THOMPSON
53,THOMPSON/CENTER ARMS
2212,THOR
1375,THOR ING WERKE
2465,THOS ADSETT & SON
684,THUNDER
3772,THYS
2616,TIDD
1387,TIGER
4247,TIGRIS ARMS
2082,TIKKA
1065,TIKKAKOSKI
1848,TILNEY
1125,TIMBER WOLF
3612,TIME PRECISION
1980,TIMS
2561,TIPPING & LAWDEN
4443,TIPPMANN ARMS
4071,TISAS
227,TITAN
4390,TITANIC ARMS
1463,TOBIN ARMS
1568,TOBLER
1729,TOKAGYPT
129,TOKAREV
2981,TOM LINSCOTT
3202,TOMLINSON
3486,TONDAR
2499,TORNADO
4228,TOROS
3593,TORPILLE
1395,TOWER (TOWER MUSKET)
2203,TOZ
482,TRADEWINDS
3185,TRADITIONS
1210,TRAIL GUNS ARMORY
3141,TRANAS
2145,TRANTER
503,TRANTER-ADAMS-KERR
81,TRAPPER
196,TREJO
4389,TRENT GUNS & CARTRIDGES
2232,TRESSITU
4524,TRI-MAY PRECISION
1346,TRICO
1486,TRIDENT
276,TRIOMPHE-FRANCAIS
628,TRIPLE S DEVELOPMENT
2160,TRIPP
2458,TRISTAR
2197,TRIUMPH
395,TROCAOLA
4119,TROY
2583,TRUE FLITE
4255,TRUEWORX
1894,TRULOCK & HARRIS
3621,TRUSADER
3039,TRUST
1744,TRUVELO
4172,TRUVELO (ADP)
3826,TRUVELO RAPTOR
1192,"TRYON, GEORG"
3459,TSA
4311,TUBB GUN
3186,TUBLER
2774,TUCKAWAY
2017,TULA
146,TULSKI-KOROVIN
4326,TUR
4506,TURBIAUX
3823,TURBO
3616,TURKISH
1942,TURNER
4109,TUSKER
4477,TYPHOON
1364,TYROL
2227,TZ 99
607,U S A ARMS CORP
2889,U S SPRINGFIELD
82,U.S. REVOLVER
114,UBERTI
1193,UBERTI HIGHWALL
4336,UBL
862,UGARTECHEA
4208,ULTIMATUM
625,ULTRA LIGHT
1831,UMAREX
2322,UMBE
3555,UNAZU
1373,UNDERWOOD
1732,UNION
3927,UNION ARMERA
100,UNIQUE
4270,UNIQUE ALPINE
1405,UNITY
342,UNIVERSAL FIREARMS CORP
4475,UNIVERSAL SPORTING GOODS
3814,UNWIN & RODGERS
4519,URBAN ARMOUR
2011,URGARTECHEA
2941,URIGUEN
2535,URKO
2871,US / S. NORTH
1833,US CARBINE 30 M1
4097,USSG BAIKAL
4026,UTAS
2969,UTICA
4153,UTM
1338,UZI
4074,UZKON
2134,V&R BLAKEMORE
2271,VALLEY ARMS
92,VALMET
233,VALOR
961,VALTRO
4304,VAN HEERDEN WORKS
1414,VANGUARD
1353,VARAN
3919,VARBERGER
4123,VARINI
4427,VC.S./C.G.H.
1567,VEGA
4334,VEK
3060,VEKTOR BOLT ACTION
2997,VEKTOR CP 1
4505,VEKTOR CP 2
3031,VEKTOR CR 21
3004,VEKTOR H 5
3005,VEKTOR LM 4
3006,VEKTOR LM 5
3007,VEKTOR LM 6
2503,VEKTOR LYTTELTON
3980,VEKTOR MINI SS
3001,VEKTOR R 4
3002,VEKTOR R 5
3003,VEKTOR R 6
2998,VEKTOR SP 1
4179,VEKTOR SP 1 GENERAL
2999,VEKTOR SP 1 SPORT
4183,VEKTOR SP 1 TARGET
4180,VEKTOR SP 1 ULTRA SPORT
3000,VEKTOR SP 2
4184,VEKTOR SP 2 150MM
4181,VEKTOR SP 2 GENERAL
4335,VEKTOR SP2 ULTRA SPORT
3008,VEKTOR SS 77
2996,VEKTOR Z 88
1807,VELO DOG
3768,VELSER
1952,VENABLES
2694,VENUS
3557,VEREY
2087,VERNEY-CARRON
3798,VERONA
4032,VERREES & CIE
1385,VEST POCKET
3419,VESTA
3845,VETTERLI
501,VICKERS
2304,VICTOR ARMS
4283,VICTOR COLETTE
3566,VICTOR SARASQUETA
1599,VICTORIA
4138,VICTRIX ARMAMENTS
3321,VIGNERON
3959,VIKTOR BRANDL
3331,VILLAR PEROSA
2794,VIRGINIAN DRAGOON
1499,VIXEN
4539,VO VAPEN
1090,VOERE
4114,VOLQUARTSEN
338,VOLUNTEER
1475,VOSTOK
4339,VUDOO
381,VULCAIN
3139,VZ52/57
3313,VZ58
3659,VZOR
3495,W C CARSWELL
2023,W C SCOTT
4155,W C SCOTT & SONS
1783,W DARLOW
1908,W GOLDEN
4175,W GRAINGER
2496,W HAMACHER
1742,W HORTON
3158,W KAVANAGH & SONS
3101,W KETLAND AND CO
3095,W M CASHMORE
3171,W S RILEY
3603,W URTON
2294,W. DOOLEY
3892,W. LEECH & SONS
2050,W. SOPER
4303,W. STOVIN
2136,W.C. MCENTEE
2804,W.H TISDALL
4351,W.LORD & CO
4367,W.R. LEESON
1944,W.R. PAPE
4484,W.THORNTON
2954,W.WELLINGTON
3939,WAFFEN JUNG
1422,WAFFEN WERLE
2700,WAFFENFABRIK BERN
1718,WAGRIA
1415,WAKEFIELD
3434,WALLAM
1926,WALLIS BROS
3531,WALMAN
2977,WALSH LOVETT
4514,WALT ARMS
87,WALTHER
31,WAMO
2096,WANZL
1688,WARD & SON
2927,WARNANT
608,WARNER
2554,WARRENTED
1869,WARRILOW
3362,WARRIOR
4470,WATCHTOWER
4346,WATSON & HANCOCK
1696,WATSON BROS
3645,WATSON WILLIAM & SON
4440,WBP
6,WEATHERBY
1652,WEAVER
4468,WEB.J.STOK & ZOON
2151,WEBER
411,WEBLEY
153,WEBLEY & SCOTT
3103,WEBLEY SCHERMULY
4157,WEBLEY-WILEY
1584,WEIRAUCH (WEIRAUCH H)
4543,WENCESTER
2690,WERNDL-HOLUB
477,WESCO ORDNANCE
1118,WESSON FIREARMS CO
4288,WEST TEXAS ORDNANCE
163,WESTERN ARMS CORP
36,WESTERN FIELD
3281,WESTERNERS ARMS
1026,WESTLEY RICHARDS
3386,WESTLEY SCOTT
1859,WESTON
1439,WG SCOTT & SON
2114,WH POLLARD
1650,WHISCO
701,WHITE
4409,WHITE DIAMOND
3576,WHITFIELD
219,WHITNEY ARMS
1129,WHITWORTH
609,WICHITA ARMS
627,WICKLIFFE
324,WIENER WAFFENFABRIK
3921,WILD WEST GUNS
676,WILDEY
68,WILKINSON ARMS
4399,WILL'S & ABBOT
3013,WILLIAM CLARK
3748,WILLIAM DOUGLAS
1737,WILLIAM ELLIS
2186,WILLIAM EVANS
1506,WILLIAM FORD
3475,WILLIAM LEE
2634,WILLIAM MOORE
1993,WILLIAM MOORE & GREY
1682,WILLIAM POWELL
3155,WILLIAM SUMNERS & SON
1786,WILLIAMS
3373,WILLIAMS & SON
1630,WILMOT GUN CO
1607,WILSON COMBAT
3,WINCHESTER
4111,WINDHAM WEAPONRY
2053,WINKLER
4350,WINMARK
667,WINSLOW
296,WISCHO
4219,WISE ARMS
3818,WISEMAN
2261,WITTEN
2069,WJ JEFFERY & CO
2651,WM GARDEN
2942,WM MOORE
2289,WOGDON
2184,WOLFF
2120,WOODHEAD
1604,WP JONES
3473,WR WEONE
2216,WUM
1212,WW GREENER
73,WYOMING ARMS
3432,X-CALIBRE
4398,XTREME ARMS
3205,YAMAMOTO
3761,YAVUZ
3911,YHM
3510,YILDIZ
2127,YORK
