Code,Description
4306,BLAKE BARREL AND RIFLE
3573,BLANCH
922,BLASER
3724,BLEIKER
4446,BLOW
2178,BLUNDERBUSS
4379,BODEO
1097,BOEHLER
1689,BOFORS
1396,BOHLER
1296,BOHMISCHE WAFFENFAB
543,BOITO
323,BOLUMBURU
1081,BOND
4321,BOOMSLANG
1297,BORCHARDT
544,BORCHERS-CELTA
3949,BORDEN
2343,BORDER
4476,BORING RIFLES
777,BOSS & CO
3137,BOST
1826,BOZARD & CO
4168,BRADLER & LACHMANN
3204,BRAENDLIN ARMOURY
1001,BREDA
550,BREN ARMS
1305,BRENNEKE (WILHELM)
549,BRESCIA
3279,BREVETTATO
542,BREVETTE
1811,BRF
4378,BRG
4343,BRIGAND
553,BRIGANT
1752,BRILEY
3693,BRITISH CONSTABULARY
4239,BRIXIA
1002,BRNO
3749,BROCKMAN'S
274,BRONCO
3870,BROUGHTON
612,BROWN
557,BROWN BESS
784,BROWN PRECISION
149,BROWNING
3698,BRUGGER & THOMET (B&T)
2687,BRUNI (BBM)
378,BRUNSWIG
2750,BRUX
50,BRYCO ARMS
1035,BSA
1290,BSF
4504,BTR
1623,BUCK & CO
783,BUDICHOWSKY
4010,BUEHLER
558,BUFFALO
2532,BUGELSPANNERS
3187,BUHMILLER
2235,BUL
1361,BULLDOG
79,BURGESS
151,BURGO
1502,BURGSMULLER H & SOHNE
2172,BURNSIDE
1301,BUSHMASTER
1508,BXP
1525,BXP (MK 9)
3964,BÃ¤LDER H
572,C A JAY & CO
3574,C COWLES
571,C FRYSE & CO
3182,C G EDWARDS
4276,C LEWERENTZ
2332,C MAYBURY
2168,C PRYSE&CO (CHARLES)
693,C SHARPS ARMS
2600,C.G. BALES
4508,C.H.SMITH
1543,C.L. ANDREWS
4466,C.PAVEY & SON
4353,C.RICHARDS
1051,CABANAS
1494,CADET DELTA
4132,CADEX
1306,CADILLAC- GAGE
3739,CAESAR GUERINI
575,CALDERWOOD & SON
1103,CALICO
2400,CALISHER & TERRY
1307,CAMPO-GIRO
1308,CANADIAN ARSENALS(CAL)
4106,CANIK
4017,CANIK 55
1772,CANNA CROMATA
1602,CANON
2092,CAP-CHUR
3543,CAPE ARMOURY
4257,CAPRA
3944,CARACAL
4496,CARBON SIX
1817,CARCANO
4536,CARETTA
98,CARL GUSTAV
3268,CARL PAUBEL
573,CARR BROS
3265,CARRERA
576,CARRERO&ASTELARRA
577,CARTER-EDWARDS
4243,CASALTA
3930,CASARTELLI
3956,CASHMORE
1510,CASPIAN
2379,CASTELLI
76,CASULL
4205,CATMA
562,CBC
187,CDM
3759,CEBRA
4237,CELIK SILAH
2516,CELTA
578,CENTAUR
2237,CENTURION
418,CENTURY ARMS
4199,CERATEC
4099,CESARE PELI & DAFFINI
1310,CETME
4434,CG BALES
1304,CG BONEHILL
458,CG HANEL SCHMEISSER
2754,CG HARSTON & CO
580,CHAMBER & SON
581,CHAMELOT-DELVIGNE
3172,CHAMPION
708,CHAMPLIN FIREARMS INC
1087,CHAPUIS
1311,CHARLES BOSWELL
2734,CHARLES DALY
1888,CHARLES FRANCIS AND SON
2960,CHARLES GRIESON
3049,CHARLES HELLIS & SON
1565,CHARLES INGRAM
2316,CHARLES LANCASTER
1155,CHARLES MOORE
1458,CHARLES OSBORNE
4332,CHARLES QUINN HAMSHAW
3839,CHARLES ROSSEN
1548,CHARLES SMITH
996,CHARLEVILLE
2362,CHARLIN
1312,CHARLTON
38,CHARTER ARMS
1313,CHARTER IND SINGAPO
2524,CHARZY
4421,CHAS PRYSE
1681,CHATELLERAULT (MAC)
3092,CHAZ OSBORNE & CO
4368,CHEELY
4160,CHEYTAC
4065,CHIAPPA
3074,CHIAVARI
2166,CHICAGO ARMS
1093,CHIPMUNK MFG. CO
3463,CHOBERT-PARIS
4259,CHOPITEA
3863,CHOY
3704,CHRISTENSEN
2137,CHRISTOPHE
345,CHURCHILL
823,CIMARRON
2327,CITADEL
1554,CLABROUGH&JOHNSON
398,CLAIR
1371,CLARBEX
1104,CLARIDGE
2278,CLARK
1921,CLARKE & SONS (HENRY)
1315,CLASSIC ARMS
325,CLEMENT (CHARLES)
173,CLERKE
2673,CMC
4091,CMMG
4136,COBALT KINETICS
2424,COBRA
197,CODY
1036,COGSWELL&HARRISON LTD
2925,COLEMAN
2945,COLIBRI (KOLIBRI)
2113,COLLATH
2640,COLONIAL
2242,COLONIST
35,COLT
3852,COLT CANADA
3853,COLT SAUER
3876,COLUMBIA
2338,COMANCHE
3274,COMBLAIM
1481,COMET
613,COMMANDO ARMS
3843,CONDOR (STOEGER)
709,CONNECTICUT VALLEY ARMS
614,CONTINENTAL
236,COOEY
686,COOK & BROTHER
54,COONAN
695,COOPER ARMS
2498,COP
3901,CORDY
967,COSMI
3462,COSTA
4296,COUNET-GENOT
4547,COX & CLARKE
1540,COX & SON
4509,CRB(CUSTOM RIFLE BARREL)
1634,CRESCENT
3820,CRICKET
1852,CROCKART & SONS
704,CROSMAN
861,CRUCELEGUI (HERMANDOS)
399,CRUCERO
2110,CRUSADER
4317,CRVENA ZASTAVA
4054,CUGIR ARMS
4482,CUNO MELCHER
4297,CURTIS CUSTOM
2109,CUSTER
3882,CW ANDREWS LTD
4234,CYA
2505,CYMOT LIMITED
299,CZ
2426,CZ 100
4320,CZ 75
4301,CZ 85
4016,CZECH SMALL ARMS
2397,D & J
4400,D & J FRASER
2823,D BREBNER DARLINGTON
1774,D LEONARD & SON
4238,D MCMASTER GIRVAN
3922,D'ARCY ECHOLS & CO
1705,D'ARMES
706,D-MAX
2850,D.D LEVAUX
3509,D.J. DRYHURST
3801,D.S. ARMS INC (DSA)
4236,D.V. JOHNSTONE
4266,D.W.F
2622,D.W.M
669,DAEWOO
1780,DAFFINI
4445,DAGLIOGLU
32,DAISY
3135,DAIWA
596,DAKOTA ARMS
3560,DALTON
882,DALY
4372,DAMAS ANGLAIS
4244,DAN ARMS
1781,DAN FRASER
7,DAN WESSON
4318,DAN WESSON ARMS
